万水千山走遍, 三毛, 北京十月文艺出版社, 2009-4
The Ph.D. Grind, Philip J. Guo, Clearway Logistics Phase 1a, 2012-7-1
金枝, （英）弗雷泽, 大众文艺出版社, 1998-01
丰饶之海（上下）, [日] 三岛由纪夫, 北京燕山出版社, 2001-1
魔戒, [英] J.R.R.托尔金, 上海人民出版社, 2013-9
斐多, 柏拉图, 生活·读书·新知三联书店, 2011-3
顾城哲思录, 顾城, 重庆出版社, 2012-8-1
韦伯作品集Ⅻ:新教伦理与资本主义精神, 马克斯·韦伯, 广西师范大学出版社, 2007-7
孤城闭, 米兰Lady, 新世界出版社, 2009-09-11
传习录, [明] 王阳明撰, 中州古籍出版社, 2008-1
C Primer Plus, Stephen Prata / 云巅工作室, 人民邮电出版社, 2005-2-1
万历十五年（增订本）, [美] 黄仁宇, 中华书局, 2007-1
论法的精神（上）, (法)孟德斯鸠, 商务印书馆, 1961-11
江村经济, 费孝通, 上海人民出版社, 2007-8
麒麟之与子同袍, 桔子樹, 宇河文化, 2011-6-10
快乐王子, (英) 王尔德, 上海译文出版社, 2010-4-1
羊道·深山夏牧场, 李娟, 上海文艺出版社, 2012-8-25
安娜·卡列尼娜, [俄] 列夫·托尔斯泰, 上海文艺出版社, 2007-8
羊道·前山夏牧场, 李娟, 上海文艺出版社, 2012-8-25
英语魔法师之语法俱乐部, 旋元佑, 九州出版社, 2001-5
编码的奥秘, Charles Petzold, 机械工业出版社, 2000-9-1
天人五衰, (日)三岛由纪夫, 上海译文出版社, 2011-4
霸王别姬, 李碧华, 人民文学出版社, 1993年8月
给青年诗人的信, [奥] 莱内·马利亚·里尔克, 上海译文出版社, 2011-2
JavaScript语言精粹, Douglas Crockford, 电子工业出版社, 2009-4
芥川龙之介全集, [日] 芥川龙之介, 山东文艺出版社, 2005-3
集体智慧编程, TOBY SEGARAN, 电子工业出版社, 2009-1
棋王.樹王.孩子王, 阿城, 大地, 2007-1-1
电影是什么？, （法）安德烈·巴赞, 文化艺术出版社, 2008-11-01
